z_nm,synthetic_pmf_kJ_mol,analytic_kJ_mol
1.725000000000000089e+00,5.929514806952260741e+00,5.950000000000001066e+00
1.774999999999999911e+00,6.384703687511759540e+00,6.299999999999999822e+00
1.825000000000000178e+00,6.756572036069506737e+00,6.660000000000001918e+00
1.875000000000000444e+00,7.265657088255839113e+00,7.030000000000003801e+00
1.925000000000000266e+00,7.705938624737335374e+00,7.410000000000001918e+00
1.975000000000000089e+00,7.297269948949015372e+00,7.800000000000000711e+00
2.024999999999999911e+00,8.839123300516295245e+00,8.199999999999999289e+00
2.075000000000000178e+00,9.688811487838016490e+00,8.610000000000001208e+00
2.125000000000000444e+00,9.584445600482592198e+00,9.030000000000002913e+00
2.175000000000000266e+00,1.084693594692968333e+01,9.460000000000000853e+00
2.225000000000000089e+00,8.761821389616429201e+00,9.900000000000000355e+00
2.275000000000000355e+00,nan,1.035000000000000320e+01
2.325000000000000622e+00,nan,1.081000000000000583e+01
2.375000000000000444e+00,nan,1.128000000000000291e+01
2.425000000000000266e+00,nan,1.176000000000000156e+01
2.475000000000000089e+00,nan,1.225000000000000000e+01
